Date,Tokino Sora,Roboco,Sakura Miko,Hoshimachi Suisei,AZKi,Yozora Mel,Aki Rosenthal,Akai Haato,Shirakami Fubuki,Natsuiro Matsuri,Minato Aqua,Murasaki Shion,Nakiri Ayame,Yuzuki Choco,Oozora Subaru,Ookami Mio,Nekomata Okayu,Inugami Korone,Houshou Marine,Uruha Rushia,Usada Pekora,Shiranui Flare,Shirogane Noel,Tsunomaki Watame,Tokoyami Towa,Kiryu Coco,Amane Kanata,Himemori Luna,Yukihana Lamy,Momosuzu Nene,Shishiro Botan,Omaru Polka,Watson Amelia,Ninomae Ina'nis,Gawr Gura,Mori Calliope,Takanashi Kiara,IRyS,Hakos Baelz,Ouro Kronii,Ceres Fauna,Tsukumo Sana,Nanashi Mumei,Moona Hoshinova,Ayunda Risu,Airani Iofifteen,Pavolia Reine,Kureiji Ollie,Anya Melfissa
2021-08-23,836000,725000,1190000,1110000,504000,592000,569000,1240000,1570000,1100000,1360000,840000,1070000,718000,1080000,827000,1160000,1650000,1570000,1360000,1660000,749000,1260000,1040000,776000,1420000,1020000,670000,788000,739000,934000,795000,1400000,1170000,3250000,1640000,1160000,597000,212000,230000,213000,168000,223000,831000,511000,446000,468000,785000,371000
2021-08-22,835000,724000,1180000,1100000,504000,591000,568000,1240000,1570000,1100000,1360000,839000,1070000,717000,1080000,826000,1160000,1650000,1570000,1360000,1660000,748000,1260000,1040000,775000,1420000,1020000,669000,787000,738000,933000,794000,1400000,1160000,3250000,1630000,1150000,592000,78400,74900,71900,59600,81900,829000,510000,445000,467000,783000,370000
2021-08-21,834000,724000,1180000,1100000,503000,590000,568000,1230000,1570000,1100000,1360000,838000,1070000,716000,1080000,825000,1160000,1640000,1570000,1360000,1660000,745000,1260000,1030000,774000,1420000,1020000,669000,786000,737000,932000,793000,1400000,1160000,3240000,1630000,1150000,589000,63400,59800,56900,45900,65000,828000,510000,444000,466000,781000,369000
2021-08-20,834000,723000,1180000,1100000,503000,588000,567000,1230000,1560000,1100000,1350000,837000,1070000,715000,1080000,823000,1160000,1640000,1570000,1360000,1660000,743000,1260000,1030000,773000,1420000,1020000,668000,784000,736000,931000,792000,1390000,1160000,3240000,1630000,1150000,587000,58800,52600,51000,40900,58400,825000,507000,443000,463000,778000,368000
2021-08-19,833000,723000,1180000,1100000,503000,587000,567000,1230000,1560000,1100000,1350000,837000,1070000,715000,1080000,819000,1160000,1640000,1560000,1360000,1660000,742000,1250000,1030000,772000,1420000,1020000,667000,784000,735000,929000,791000,1390000,1160000,3230000,1630000,1150000,585000,75400,71300,69900,60400,74900,822000,506000,442000,462000,775000,367000
2021-08-18,832000,722000,1180000,1100000,502000,586000,566000,1230000,1560000,1100000,1350000,835000,1070000,714000,1080000,819000,1160000,1640000,1560000,1350000,1650000,741000,1250000,1030000,771000,1420000,1020000,666000,783000,733000,928000,790000,1390000,1160000,3230000,1630000,1150000,583000,122000,117000,117000,109000,121000,820000,505000,440000,461000,773000,365000
2021-08-17,832000,721000,1180000,1100000,502000,585000,566000,1220000,1560000,1100000,1350000,834000,1060000,713000,1070000,818000,1150000,1640000,1560000,1350000,1650000,740000,1250000,1030000,770000,1420000,1010000,665000,781000,732000,927000,789000,1390000,1150000,3230000,1620000,1150000,580000,88100,85100,83800,78900,86800,817000,504000,438000,459000,770000,361000
2021-08-16,831000,721000,1180000,1100000,501000,583000,565000,1220000,1560000,1100000,1350000,832000,1060000,712000,1070000,817000,1150000,1640000,1560000,1350000,1650000,739000,1250000,1030000,768000,1420000,1010000,665000,780000,731000,925000,787000,1390000,1150000,3220000,1620000,1140000,578000,84000,81200,79900,75300,82800,816000,503000,436000,457000,767000,358000
2021-08-15,830000,720000,1180000,1090000,501000,582000,564000,1220000,1560000,1090000,1350000,830000,1060000,711000,1070000,816000,1150000,1640000,1550000,1350000,1650000,737000,1250000,1030000,767000,1420000,1010000,664000,779000,730000,923000,785000,1380000,1150000,3220000,1620000,1140000,576000,80000,77300,76100,71700,78900,814000,502000,435000,454000,764000,356000
2021-08-14,830000,720000,1170000,1090000,500000,581000,564000,1220000,1560000,1090000,1350000,829000,1060000,711000,1070000,815000,1150000,1640000,1550000,1350000,1650000,736000,1250000,1030000,766000,1420000,1010000,663000,777000,729000,921000,784000,1380000,1150000,3210000,1620000,1140000,573000,76000,73400,72300,68100,74900,813000,501000,434000,453000,763000,355000
2021-08-13,829000,719000,1170000,1090000,500000,580000,563000,1210000,1560000,1090000,1350000,828000,1050000,710000,1070000,814000,1150000,1630000,1550000,1340000,1650000,735000,1240000,1030000,765000,1420000,1010000,662000,775000,726000,918000,783000,1380000,1150000,3210000,1620000,1140000,572000,72000,69600,68500,64500,71000,812000,501000,434000,453000,761000,354000
