Date,Tokino Sora,Roboco,Sakura Miko,Hoshimachi Suisei,AZKi,Yozora Mel,Aki Rosenthal,Akai Haato,Shirakami Fubuki,Natsuiro Matsuri,Minato Aqua,Murasaki Shion,Nakiri Ayame,Yuzuki Choco,Oozora Subaru,Ookami Mio,Nekomata Okayu,Inugami Korone,Houshou Marine,Uruha Rushia,Usada Pekora,Shiranui Flare,Shirogane Noel,Tsunomaki Watame,Tokoyami Towa,Kiryu Coco,Amane Kanata,Himemori Luna,Yukihana Lamy,Momosuzu Nene,Shishiro Botan,Omaru Polka,Watson Amelia,Ninomae Ina'nis,Gawr Gura,Mori Calliope,Takanashi Kiara,IRyS,Hakos Baelz,Ouro Kronii,Ceres Fauna,Tsukumo Sana,Nanashi Mumei,Moona Hoshinova,Ayunda Risu,Airani Iofifteen,Pavolia Reine,Kureiji Ollie,Anya Melfissa
2021-08-23,66506827,48551407,118334402,134076078,21060981,14194084,23964953,131850111,180717353,84896639,147676138,67659926,47027162,21314290,84645208,58757014,118490017,153715944,228583818,105460130,249194906,63498253,90071625,104966385,57078985,173594665,132186602,35190277,61985518,46000107,77755413,77988024,80570858,60418315,156575780,161168624,77015021,11919150,599564,602530,681774,781518,537226,36510512,30719788,12024664,19920091,28133456,7214974
2021-08-22,66384411,48395419,118235980,133557063,20995760,14147159,23956020,131230349,180473024,84644678,147391105,67743765,46919312,21211192,84023447,58606319,118264099,153387584,227498616,104904019,248189247,62973731,89654972,104749110,56827451,173547737,131984424,35357052,61875690,45869331,77664740,77792812,80523987,60362383,156387210,158702383,76560453,11684920,0,0,0,0,0,36440623,30701829,11956839,19843424,28031469,7172588
2021-08-21,66280520,48343803,117963420,132618855,20974800,13989559,23944252,130884147,180243541,84378835,147273507,67626805,46804919,21169148,83772083,58134478,118035800,153121659,226684737,104545879,247868655,62711423,89560956,104489528,56674708,173501890,131343412,35261198,61594767,45671721,77357994,77418183,80476616,60224686,155720448,158702383,76352802,11498088,0,0,0,0,0,36301267,30590723,11939964,19710892,27772178,7127154
2021-08-20,66170914,48324320,117563661,132168400,20951671,13929340,23928896,130487276,180062935,84216135,147143212,67492146,46679940,21109859,83522554,57475223,117878641,152823023,225823118,104048766,247342204,62497795,89466247,104295817,56605351,173453712,130979921,35234990,61420475,45519070,77122421,77173904,80423207,60157265,155542615,158702383,76210009,11329283,0,0,0,0,0,36087436,30554870,11891048,19667243,27720262,7083245
2021-08-19,66114815,48263411,117058122,131589042,20929192,13873647,23891748,130297565,179852800,84016633,147009605,67312662,46544806,21034479,83303966,57302691,117646052,152561969,225359611,103677899,247165959,62289371,89353019,103759583,56337730,173406761,130531508,35167042,61271444,45360242,76817876,76859902,80364100,60006007,155356530,158702383,75855949,11279228,0,0,0,0,0,35946961,30538445,11856211,19614155,27584706,7021682
2021-08-18,66027080,48165551,116766813,130940737,20906366,13827631,23846293,129429416,179589269,83855168,146818382,66998677,46404800,20979960,83041845,57236935,117385565,152450773,224553949,103119126,246653082,62105974,89090158,103543754,56166939,173358951,130148970,35015178,61069939,45220750,76611220,76650894,80271672,59776147,155123546,158702383,75613159,11120946,0,0,0,0,0,35781462,30522066,11710768,19531568,27301252,6791607
2021-08-17,65970849,48081970,116358405,130212201,20883453,13777203,23786909,128338159,179224565,83575009,146477138,66443423,46193426,20867928,82901804,57055293,117122075,152206591,223351125,102851633,245929294,61931589,88868481,103404946,55801416,173308453,129802212,34918526,60759389,45076044,76325490,76415297,80057399,59699059,154896016,158151256,75479059,10881572,0,0,0,0,0,35689894,30504920,11680510,19386708,27146372,6760573
2021-08-16,65883584,48007832,116037689,129516014,20849362,13499223,23733231,127502775,178784580,83359492,146251820,66302809,45645832,20811617,82583235,56889433,116791766,151846286,222256091,102596914,245363475,61575769,88685205,103242180,55627631,173235684,129413074,34790664,60607857,44956294,76019352,75783116,79890255,59510735,154171191,158106371,75341000,10816811,0,0,0,0,0,35581071,30479925,11605378,19155855,26775712,6560054
2021-08-15,65858189,47990851,115493245,129053775,20838256,13414985,23724868,126867311,178614860,83287380,146016953,66011845,45540391,20766035,82415168,56830216,116626642,151736083,221108710,101954482,244605506,61426598,88510299,102980570,55425813,173203453,129232942,34726944,60481573,44823604,75847100,75629941,79541475,59318202,153720379,157209647,75273405,10610154,0,0,0,0,0,35489755,30468902,11496102,19084143,26691864,6511222
2021-08-14,65714068,47886019,115021931,128452616,20815252,13396630,23667880,126502052,178386904,83160417,145880473,65931128,45405603,20754526,81852795,56496483,116460541,151361362,220097169,101832123,243614619,61084017,88289800,102668606,55333886,173152347,128951229,34664601,60012608,44513402,75155005,75533295,79242592,59066153,153079752,157149164,75126904,10362951,0,0,0,0,0,35380852,30450949,11486549,19008361,26659755,6465408
2021-08-13,65661773,47836328,114538242,127853328,20789994,13383038,23656995,126184751,177959944,82959512,145730426,65844509,45251258,20718155,81724807,56434438,116223658,151128396,219277676,101526343,243074673,60908800,88020336,102413912,55202014,173103004,128637326,34518765,59736896,43873505,74846269,75381892,79011922,58685101,152638133,156775981,74925091,10081716,0,0,0,0,0,35246813,30402569,11475032,18906953,26624943,6463486
2021-08-12,65605015,47814732,113918601,127482954,20764357,13363527,23646237,125797489,177362259,82606689,145560938,65736542,45075681,20610275,81517225,56363123,116056091,150878063,218140167,101176714,242895630,60602622,87789578,102167979,55107519,173047791,128303671,34445597,59078936,43614969,74701870,75163192,78956755,58611423,152171967,156336033,74592279,10015428,0,0,0,0,0,34945705,30379528,11432129,18858275,26591115,6447324
2021-08-11,65490214,47743691,113555109,127106459,20738866,13347293,23637872,125587995,177106782,82374664,145371232,65494498,44877011,20601997,81174786,56286628,115891106,150520127,216588104,100882240,242501182,60331904,87517287,101882988,54864867,172993275,128179605,34337722,58810293,43410793,74498071,74973861,78776550,58540182,151646803,155947187,74371481,9853255,0,0,0,0,0,34680631,30316851,11421004,18774793,26557856,6445893
2021-08-10,65372415,47644855,112108376,126207281,20644364,13189515,23532645,124909214,176271045,82010678,144251923,65243822,44402429,20583449,80795940,55736959,115379730,150141247,214639932,99951315,241372239,59855649,86785704,101650053,54319238,172880991,127914489,34202224,58202251,43371171,74166010,74783111,78241701,58368677,151270101,154821945,73988967,9370845,0,0,0,0,0,34195738,30252289,11329072,18681083,26486847,6396028
2021-08-09,65372415,47644855,112108376,126207281,20644364,13189515,23532645,124909214,176271045,82010678,144251923,65243822,44402429,20583449,80795940,55736959,115379730,150141247,214639932,99951315,241372239,59855649,86785704,101650053,54319238,172880991,127914489,34202224,58202251,43371171,74166010,74783111,78241701,58368677,151270101,154755974,73988967,9370845,0,0,0,0,0,34195738,30252289,11329072,18681083,26486847,6396028
2021-08-08,65236561,47565389,111719641,125760307,20616542,13077640,23470862,124456219,175928080,81827290,143616253,64873513,44099563,20502311,80471869,55684612,115107432,149905583,213678186,99641832,240456298,59634474,86408894,101359591,53868929,172820959,127569268,34185382,58105796,43350506,74115830,74510755,77892222,58256181,151059171,154098932,73714010,9077161,0,0,0,0,0,33936704,30214016,11308843,18601772,26443694,6393282
2021-08-07,65135230,47458080,111237954,125220884,20586807,12962904,23385523,124371697,175471025,81717869,143185552,64775933,44007644,20439143,80021864,55526356,114852925,149723038,212574961,99542623,239873439,59102674,86156051,101059436,53597803,172765550,127351248,34119670,57887437,43332224,74068057,74400224,77720720,58117581,150464615,153086720,73485407,9012551,0,0,0,0,0,33534957,30147951,11191142,18511010,26389929,6388742
2021-08-06,65022887,47367804,110633502,124781139,20478759,12890896,23375189,124201081,175027423,81561609,143028948,64643850,43899167,20430597,79743867,55450904,114500717,149612188,211231757,99414711,239462554,58982622,85941268,100867482,53521380,172687353,127021155,33984607,57657234,43308769,73821466,74195297,77654618,57914137,149840405,153047413,73345553,8717441,0,0,0,0,0,33387069,30093227,11178539,18443798,26181238,6364495
2021-08-05,64980772,47282039,110072508,124387721,20455818,12879127,23369085,124027015,174860300,81434440,142916526,64541447,43817729,20354268,79484942,55321439,114227348,149542561,210123990,99320594,238947261,58949789,85630075,100789984,53361869,172643516,126761823,33911725,57491975,43293505,73774364,74058186,77458604,57303701,149329823,151947937,73225364,8597320,0,0,0,0,0,33287338,30080072,11171291,18387638,26109991,6356254
2021-08-04,64888553,47173288,109265675,123887389,20425630,12860592,23360885,123933527,174508078,81314341,142599072,64394523,43724709,20319204,79183586,55169310,113926854,149317942,209228014,99026287,238769056,58788338,85425213,100500554,53165820,172582003,126357482,33865431,57284391,43262401,73660707,73881386,77404884,57254175,149158103,151444341,72850207,8387578,0,0,0,0,0,33064736,30047687,11160565,18323297,26024239,6321986
2021-08-03,64616319,47152436,108526360,123131032,20398115,12822032,23354116,123696428,174172749,81167999,142480619,64101515,43634438,20163455,79121238,55118214,113678096,149219937,208485545,98935944,238338708,58638712,85327951,100326301,53010692,172526732,126210908,33746216,56992118,43171727,73505668,73660942,77345992,57207813,149005173,151377464,72587410,8061972,0,0,0,0,0,33009331,30019751,11151362,18254589,25832157,6299874
2021-08-02,64546432,47063152,107777961,122677770,20356474,12804019,23342731,123321998,173656234,80949491,142325338,63902495,43511904,20148017,78999566,54949625,113241134,148891436,207223605,98545254,237717857,58514361,84776343,100106851,52835247,172446529,125800643,33722493,56906019,42994353,73260568,73534428,77081782,56926332,148543402,150657893,72240127,7806120,0,0,0,0,0,32935787,29979229,11138715,18222308,25644778,6295284
2021-08-01,64427645,47012763,107074850,122204780,20309242,12792643,23333559,122683191,173138516,80725581,141956750,63696392,43392280,20137097,78495023,54886206,113067227,148495864,205945138,98208274,236652547,58325365,84656595,100007986,52700130,172374968,125553204,33591400,56764047,42889867,73189139,73354324,76907397,56600649,148347128,149622872,72054892,7411214,0,0,0,0,0,32876229,29967510,11128346,18157757,25552173,6289282
2021-07-31,64284776,46994894,106702789,121836562,20287738,12743510,23323526,122479442,172766442,80560514,141831123,63102324,43069102,20119091,78302667,54638947,112717972,148333558,204919887,97789637,236064068,58139967,84533679,99693177,52549023,172309137,125261194,33518513,56635783,42751707,72877723,73139721,76702390,56387326,147823130,149561131,71796240,7192957,0,0,0,0,0,32811231,29955379,11117899,18089214,25425735,6258607
2021-07-30,64229431,46905624,106265373,121424583,20266733,12839847,23312426,122249414,172578684,80459964,141686015,63056284,42972404,20053449,78228999,54390362,112482584,148216458,203340579,97462105,235388679,58006219,84300776,99426410,52487082,172243357,124916985,33436879,56498050,42731556,72794758,72775351,76369330,56175545,147627961,149315127,71540104,7148838,0,0,0,0,0,32715899,29942537,11106615,18044805,25384849,6235193
2021-07-29,64130739,46883473,105771765,120843653,20245036,12721230,23289303,122146379,172467435,80356325,141399064,63009285,42867081,20040084,78119662,54337000,112230832,147909493,202250579,97312328,235037975,57740363,84156618,99216658,52335255,172170509,124420793,33349959,56307235,42707112,72442965,72590529,76157078,55977753,147429095,148454392,71433275,7067939,0,0,0,0,0,32501734,29929010,11095133,17988493,25284438,6203680
